大白菜0.350.400.45\冀斤2019-12-05
大白菜0.500.650.80黄心大头青口斤2019-12-05
娃娃菜0.600.750.90\甘斤2019-12-05
芹菜0.400.500.60冀\鲁斤2019-12-05
菠菜0.801.051.30鲁/冀斤2019-12-05
番茄1.301.652.00\冀斤2019-12-05
番茄1.501.852.20\精品斤2019-12-05
黄瓜2.402.502.60辽\箱辽斤2019-12-05
黄瓜2.502.853.20\京鲜花斤2019-12-05
黄瓜3.504.004.50旱\荷兰斤2019-12-05
茄子1.001.201.40冀/斤2019-12-05
茄子1.601.952.30云蒙斤2019-12-05
架豆3.504.154.80\云斤2019-12-05
尖椒0.700.951.20冀|斤2019-12-05
柿子椒1.001.251.50冀\斤2019-12-05
土豆0.700.951.20\冀斤2019-12-05
黄葱头1.001.101.20\蒙甘斤2019-12-05
红葱头1.201.451.70\蒙甘斤2019-12-05
葱0.500.600.70冀/鲁斤2019-12-05
小葱1.501.752.00普通斤2019-12-05
吊冬瓜0.550.600.65普通斤2019-12-05
地冬瓜0.250.280.30普通斤2019-12-05
团生菜1.201.401.60云冀斤2019-12-05
圆白菜0.500.550.60鄂斤2019-12-05
甘蓝0.800.901.00冀斤2019-12-05
油菜1.201.351.50冀鲁|云斤2019-12-05
姜3.504.655.80普通斤2019-12-05
大蒜4.204.855.50老蒜\斤2019-12-05
西胡芦1.802.152.50云\鲁斤2019-12-05
菜花0.701.101.50冀斤2019-12-05
散菜花1.802.152.50冀斤2019-12-05
绿菜花1.502.002.50\冀斤2019-12-05
胡萝卜0.450.570.70冀|鲁新斤2019-12-05
胡萝卜（洗）0.500.751.00冀斤2019-12-05
心里美0.500.550.60普通斤2019-12-05
白萝卜0.500.600.70冀\川斤2019-12-05
卞萝卜0.300.350.40普通斤2019-12-05
青萝卜0.300.500.70冀|津斤2019-12-05
水萝卜0.700.750.80川皖斤2019-12-05
平菇2.503.153.80\小叶斤2019-12-05
莴笋0.801.001.20冀\津斤2019-12-05
香菇3.504.154.80普通斤2019-12-05
香菜1.502.002.50鲁\冀斤2019-12-05
山药1.503.255.00脆\麻新斤2019-12-05
铁棍山药3.003.904.80\新斤2019-12-05
藕2.002.352.70普通斤2019-12-05
小毛冬瓜1.002.003.00储存长/圆新斤2019-12-05
韭菜2.803.003.20冀\粤斤2019-12-05
小白菜0.800.901.00普通斤2019-12-05
蒜苗2.503.755.00\存斤2019-12-05
蒜黄3.703.753.80\冀京斤2019-12-05
豆王2.703.754.80冀|云斤2019-12-05
扁豆2.003.154.30\冀|云斤2019-12-05
豇豆4.004.505.00冀/桂闽干斤2019-12-05
白不老4.004.755.50\冀|云斤2019-12-05
油豆3.504.004.50辽箱斤2019-12-05
毛豆3.503.754.00京\川斤2019-12-05
红薯0.600.650.70\冀斤2019-12-05
红薯1.202.002.80烟薯紫薯斤2019-12-05
绿豆芽0.950.981.00普通斤2019-12-05
黄豆芽0.850.880.90普通斤2019-12-05
蒜米4.304.655.00普通斤2019-12-05
苦瓜2.803.404.00\鲁斤2019-12-05
丝瓜3.503.754.00鲁斤2019-12-05
南北瓜0.500.600.70冀新\鄂斤2019-12-05
白玉菇5.505.906.30普通斤2019-12-05
口蘑6.506.757.00普通斤2019-12-05
杏鲍菇3.003.303.60普通斤2019-12-05
鸡腿菇10.0010.5011.00普通斤2019-12-05
金针菇2.503.454.40普通斤2019-12-05
木耳2.202.853.50普通斤2019-12-05
茴香1.501.752.00\冀斤2019-12-05
线椒1.301.501.70普通斤2019-12-05
杭椒1.201.501.80普通斤2019-12-05
散叶生菜2.802.903.00普通斤2019-12-05
苦菊3.003.303.60普通斤2019-12-05
樱西2.502.003.20小红斤2019-12-05
芋头1.401.501.60\鲁斤2019-12-05
长茄1.001.151.30海城\绥中斤2019-12-05
广茄1.001.301.60冀\云斤2019-12-05
线茄1.801.902.00冀|浙鲁斤2019-12-05
紫甘蓝0.650.700.75\宁斤2019-12-05
金丝南瓜0.400.450.50冀斤2019-12-05
板栗南瓜0.801.001.20普通斤2019-12-05
荸荠2.002.102.20\冀斤2019-12-05
油麦菜1.701.751.80\冀斤2019-12-05
玉米1.601.701.80\冀黄|皖桂斤2019-12-05
牛蒡3.303.453.60普通斤2019-12-05
小米椒4.004.254.50普通斤2019-12-05
彩椒2.503.504.50红\黄斤2019-12-05
花生2.503.153.80冀大/苏斤2019-12-05
茭白3.504.004.50沪浙斤2019-12-05
苤蓝0.801.151.50冀|川斤2019-12-05
凉薯1.201.301.40粤斤2019-12-05
青蒜1.001.251.50冀豫鲁苏斤2019-12-05
黄心菜0.500.550.60皖斤2019-12-05
